"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2010,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Murle Ethnic Group","Sudan","Junglei","Akobo",7.78,33.04,628400,20100207,92.3,"MALKAL",31.64,9.55,"M"
2010,"Battles","Military Forces of Sudan (1989-)","SLM/SLA: Sudan Liberation Movement/Army","Sudan","Darfur","Jebel Marra",13.75,24.5,627600,20100210,92.3,"EL FASHER",25.33,13.61,"M"
2010,"Battles","Military Forces of Sudan (1989-)","SLM/SLA: Sudan Liberation Movement/Army","Sudan","Darfur","Jebel Marra",13.75,24.5,627600,20100210,92.3,"EL FASHER",25.33,13.61,"M"
2010,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Hagar",15.11,24.21,627600,20100210,92.3,"EL FASHER",25.33,13.61,"M"
2010,"Battles","Military Forces of Sudan (1989-)","SLM/SLA: Sudan Liberation Movement/Army","Sudan","Darfur","Kas",12.5,24.28,627900,20100327,92.3,"NYALA",24.88,12.05,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,19990912,92.5,"OBO",26.5,5.4,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,19990912,92.5,"OBO",26.5,5.4,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Eastern Equatoria","Nimule",3.59,32.04,636300,20000324,92.5,"GULU",32.33,2.75,"H"
2001,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,20010110,92.5,"OBO",26.5,5.4,"M"
2004,"Violence against civilians","JEM: Justice and Equality Movement","Civilians (Sudan)","Sudan","Darfur","Malamm",11.51,23.81,627900,20040613,92.5,"NYALA",24.88,12.05,"M"
2005,"Battles","Military Forces of  Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Torit",4.41,32.56,629410,20050920,92.5,"JUBA",31.6,4.86,"M"
2005,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","Central Equatoria","Loka",4.27,31.01,629410,20050920,92.5,"JUBA",31.6,4.86,"M"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Northern Darfur","El Geneina",13.44,22.45,627700,20051115,92.5,"GENINA",22.45,13.48,"M"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Western Darfur","Masteri (Mesteri)",13.11,22.14,627700,20051115,92.5,"GENINA",22.45,13.48,"M"
2008,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Southern Kordofan","Abyei",9.59,28.43,628800,20080531,92.5,"WAU",28.01,7.69,"M"
2008,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Southern Kordofan","Abyei",9.59,28.43,628800,20080610,92.5,"WAU",28.01,7.69,"M"
2000,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Red Sea","Karora",17.7,38.36,626410,20000404,92.69,"PORT SUDAN",37.21,19.58,"M"
2005,"Battles","Dinka Ethnic Militia","Moru Ethnic Militia","Sudan","Western Equatoria","Mundri",5.4,30.25,629410,20051013,92.69,"JUBA",31.6,4.86,"M"
2005,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Liria",4.64,32.08,629410,20051013,92.69,"JUBA",31.6,4.86,"M"
2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20040715,92.8,"LODWAR",35.61,3.11,"M"
2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20040715,92.8,"LODWAR",35.61,3.11,"M"
2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20040715,92.8,"LODWAR",35.61,3.11,"M"
2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20040715,92.8,"LODWAR",35.61,3.11,"M"
2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20040715,92.8,"LODWAR",35.61,3.11,"M"
2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20040715,92.8,"LODWAR",35.61,3.11,"M"
2004,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20040715,92.8,"LODWAR",35.61,3.11,"M"
2005,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","South Darfur","Haraza",11.3,24.18,627900,20050317,92.8,"NYALA",24.88,12.05,"M"
2005,"Violence against civilians","SLM/A: Sudan Liberation Movement/Army","Civilians (Sudan)","Sudan","South Darfur","South Darfur",11,25,627900,20050317,92.8,"NYALA",24.88,12.05,"M"
2005,"Violence against civilians","JEM: Justice and Equality Movement","Civilians (Sudan)","Sudan","South Darfur","South Darfur",11,25,627900,20050317,92.8,"NYALA",24.88,12.05,"M"
2007,"Battles","Unidentified Armed Group (Sudan)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","Equatoria","Kit",4.16,32.05,629410,20070103,92.8,"JUBA",31.6,4.86,"M"
2007,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,629410,20070103,92.8,"JUBA",31.6,4.86,"M"
2007,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,629410,20070103,92.8,"JUBA",31.6,4.86,"M"
2007,"Violence against civilians","UNMIS: United Nations Mission in Sudan","Civilians (Sudan)","Sudan","East Equatoria","Juba",4.84,31.61,629410,20070103,92.8,"JUBA",31.6,4.86,"M"
2009,"Battles","Military Forces of Sudan (1989-)","JEM: Justice and Equality Movement","Sudan","Kordofan","Babanusa",11.33,27.79,628090,20090802,92.8,"BABANUSA",27.81,11.33,"M"
2009,"Battles","SPLA: Sudanese People's Liberation Army","LRA: Lord's Resistance Army","Sudan","Western Bahr el-Ghazal","Kor al-Madinah (al-Madia)",8.46,25.68,646610,20091214,93,"YALINGA",23.26,6.5,"M"
2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Western Bahr el-Ghazal","Kor al-Madinah (al-Madia)",8.46,25.68,646610,20091214,93,"YALINGA",23.26,6.5,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Kugulu camp",4.56,33.3,636304,19970221,93.19,"LIRA",32.9,2.25,"H"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Kugulu camp",4.56,33.3,636304,19970221,93.19,"LIRA",32.9,2.25,"H"
1997,"Riots","Rioters (Sudan)","","Sudan","Kassala","Kassala",15.45,36.39,627300,19971223,93.19,"KASSALA",36.4,15.46,"C"
1998,"Battles","SAF: Sudan Alliance Forces","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ar Rusayris",11.85,34.38,628050,19980910,93.19,"DAMAZINE",34.38,11.78,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Equatoria","Liria",4.64,32.08,629410,19981020,93.19,"JUBA",31.6,4.86,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Equatoria","Liria",4.64,32.08,629410,19981020,93.19,"JUBA",31.6,4.86,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Torit",4.41,32.56,629410,19981020,93.19,"JUBA",31.6,4.86,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Ngangala",4.69,31.91,629410,19981020,93.19,"JUBA",31.6,4.86,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Torit",4.41,32.56,629410,19981020,93.19,"JUBA",31.6,4.86,"M"
1998,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,629410,19981020,93.19,"JUBA",31.6,4.86,"M"
1999,"Violence against civilians","PDF: Popular Defense Forces","Civilians (Sudan)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,19990225,93.19,"OBO",26.5,5.4,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","South Darfur","Nyala",12.05,24.88,627600,19990809,93.19,"EL FASHER",25.33,13.61,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","South Darfur","Nyala",12.05,24.88,627600,19990809,93.19,"EL FASHER",25.33,13.61,"M"
1999,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","South Darfur","Nyala",12.05,24.88,627600,19990809,93.19,"EL FASHER",25.33,13.61,"M"
1999,"Battles","Unidentified Armed Group (Sudan)","Police Forces of Sudan (1989-)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,19991210,93.19,"KHARTOUM",32.54,15.6,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Southern Kordofan","Kadugli",11.01,29.71,628100,20000201,93.19,"KADOGLLI",29.71,11,"M"
2000,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","South Kordofan","Nuba Mountains",12,30.75,628030,20000307,93.19,"RASHAD",31.04,11.86,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20000619,93.19,"MALKAL",31.64,9.55,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Upper Nile","Gwa",8.51,34.08,628400,20000619,93.19,"MALKAL",31.64,9.55,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20000620,93.19,"MALKAL",31.64,9.55,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Upper Nile","Gwa",8.51,34.08,628400,20000620,93.19,"MALKAL",31.64,9.55,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","SSUA-Gadet: Southern Sudan United Army-Gadet Faction","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20000901,93.19,"MALKAL",31.64,9.55,"M"
2001,"Violence against civilians","Baggara-Murahaleen Arab Militia (Sudan)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Ajok",8.23,28.6,628100,20010102,93.19,"KADOGLLI",29.71,11,"M"
2001,"Riots","Protesters (Sudan)","","Sudan","Khartoum","Khartoum",15.54,32.53,627210,20010220,93.19,"KHARTOUM",32.54,15.6,"M"
2001,"Riots","Protesters (Sudan)","","Sudan","Khartoum","Khartoum",15.54,32.53,627210,20010220,93.19,"KHARTOUM",32.54,15.6,"M"
2001,"Riots","Rioters (Sudan)","Police Forces of Sudan (1989-)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,20010318,93.19,"KHARTOUM",32.54,15.6,"M"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","South Kordofan","Nuba Mountains",12,30.75,628030,20010527,93.19,"RASHAD",31.04,11.86,"M"
2001,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Kordofan","Nuba Mountains",12,30.75,628030,20010527,93.19,"RASHAD",31.04,11.86,"M"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Upper Nile","Wang Kai",9.03,29.48,628100,20010608,93.19,"KADOGLLI",29.71,11,"M"
2001,"Battles","Military Forces of  Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,629410,20010625,93.19,"JUBA",31.6,4.86,"M"
2001,"Violence against civilians","Military Forces of  Uganda (1986-)","Civilians (Uganda)","Sudan","East Equatoria","Juba",4.84,31.61,629410,20010625,93.19,"JUBA",31.6,4.86,"M"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Upper Nile","Wang Kai",9.03,29.48,628100,20010704,93.19,"KADOGLLI",29.71,11,"M"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Upper Nile","West Nuer in Wanj Kay",8.51,33.45,628400,20010707,93.19,"MALKAL",31.64,9.55,"M"
2002,"Battles","Military Forces of  Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,636020,20020225,93.19,"ARUA",30.91,3.04,"H"
2002,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,20020915,93.19,"MALKAL",31.64,9.55,"M"
2002,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Sudan","Eastern Equatoria","Eastern Equatoria",4.41,32.56,629410,20021104,93.19,"JUBA",31.6,4.86,"M"
2002,"Battles","Military Forces of  Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",5,31,629410,20021104,93.19,"JUBA",31.6,4.86,"M"
2002,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Sudan","Southern Sudan","Kipyenyi in Isore",4.14,32.23,629410,20021104,93.19,"JUBA",31.6,4.86,"M"
2002,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Sudan","Southern Sudan","Pomo Hills",4.41,32.56,629410,20021104,93.19,"JUBA",31.6,4.86,"M"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20040218,93.19,"NYALA",24.88,12.05,"M"
2004,"Battles","JEM: Justice and Equality Movement","Rizaygat Ethnic Militia","Sudan","Bahr el Ghazal","Adiai",9.26,28.83,628100,20040731,93.19,"KADOGLLI",29.71,11,"M"
2004,"Battles","JEM: Justice and Equality Movement","Rizaygat Ethnic Militia","Sudan","Bahr el Ghazal","Adiai",9.26,28.83,628100,20040731,93.19,"KADOGLLI",29.71,11,"M"
2004,"Battles","JEM: Justice and Equality Movement","Rizaygat Ethnic Militia","Sudan","Bahr el Ghazal","Adiai",9.26,28.83,628100,20040731,93.19,"KADOGLLI",29.71,11,"M"
2004,"Battles","JEM: Justice and Equality Movement","Rizaygat Ethnic Militia","Sudan","Bahr el Ghazal","Adiai",9.26,28.83,628100,20040731,93.19,"KADOGLLI",29.71,11,"M"
2004,"Violence against civilians","SLM/A: Sudan Liberation Movement/Army","Civilians (Sudan)","Sudan","Bahr el Ghazal","Abd el Lait",7.08,26,628800,20040913,93.19,"WAU",28.01,7.69,"M"
2005,"Battles","Eastern Front","Military Forces of Sudan (1989-)","Sudan","Red Sea","Tokar",19.1,37.31,626410,20050621,93.19,"PORT SUDAN",37.21,19.58,"M"
2005,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Juba",4.84,31.61,629410,20051103,93.19,"JUBA",31.6,4.86,"M"
2005,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Foreign)","Sudan","East Equatoria","Kapoeta",4.77,33.59,629410,20051103,93.19,"JUBA",31.6,4.86,"M"
2006,"Riots","Rioters (Sudan)","","Sudan","Khartoum","Khartoum",15.54,32.53,627210,20060213,93.19,"KHARTOUM",32.54,15.6,"M"
2006,"Violence against civilians","Police Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,20060213,93.19,"KHARTOUM",32.54,15.6,"M"
2006,"Battles","Unidentified Armed Group (Sudan)","UNHCR: United Nations High Commission for Refugees","Sudan","Darfur","Zalingei",12.89,23.48,627900,20060722,93.19,"NYALA",24.88,12.05,"M"
2006,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Darfur","Jebel Marra",13.75,24.5,627600,20060829,93.19,"EL FASHER",25.33,13.61,"M"
2006,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Darfur",13,25,627900,20060913,93.19,"NYALA",24.88,12.05,"M"
2006,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,629410,20061023,93.19,"JUBA",31.6,4.86,"M"
2008,"Violence against civilians","UPDF: Military Forces of Uganda (1986-)","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,629410,20080503,93.19,"JUBA",31.6,4.86,"M"
2008,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","Southern Kordofan","Abyei",9.59,28.43,628800,20080518,93.19,"WAU",28.01,7.69,"M"
2008,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Southern Kordofan","Abyei",9.59,28.43,628800,20080518,93.19,"WAU",28.01,7.69,"M"
2008,"Battles","Military Forces of Sudan (1989-)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,629410,20080601,93.19,"JUBA",31.6,4.86,"M"
2008,"Battles","GOSS: Military Forces of Southern Sudan","Unidentified Armed Group (Sudan)","Sudan","East Equatoria","Juba",4.84,31.61,629410,20080620,93.19,"JUBA",31.6,4.86,"M"
2008,"Battles","Military Forces of Sudan (1989-)","SLM/A: Sudan Liberation Movement/Army","Sudan","Darfur","Wadi Abu Hamra'",13.06,25.71,627600,20080811,93.19,"EL FASHER",25.33,13.61,"M"
2009,"Battles","JEM: Justice and Equality Movement","SLM/A-Minnawi: Sudan Liberation Movement/Army-Minnawi Faction","Sudan","South Darfur","Muhajiriya",12,25.63,627900,20090116,93.19,"NYALA",24.88,12.05,"M"
2009,"Battles","Hawazmah Ethnic Militia","Al-Falata Ethnic Militia","Sudan","South Darfur","Nyala",12.05,24.88,627900,20090314,93.19,"NYALA",24.88,12.05,"M"
2009,"Battles","Unidentified Armed Group (Sudan)","UNAMID: African Union-United Nations Hybrid Operation in Darfur","Sudan","South Darfur","Nyala",12.05,24.88,627900,20090314,93.19,"NYALA",24.88,12.05,"M"
2009,"Battles","Unidentified Armed Group (Sudan)","UNAMID: African Union-United Nations Hybrid Operation in Darfur","Sudan","South Darfur","Nyala",12.05,24.88,627900,20090314,93.19,"NYALA",24.88,12.05,"M"
2009,"Battles","UNAMID: United Nations Mission In Darfur","Unidentified Armed Group (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20090805,93.19,"NYALA",24.88,12.05,"M"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20090805,93.19,"NYALA",24.88,12.05,"M"
2009,"Violence against civilians","Nuer Ethnic Group","Civilians (Sudan)","Sudan","Upper Nile","Duk Fadiat",7.75,31.41,628400,20090912,93.19,"MALKAL",31.64,9.55,"M"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","South Darfur","Buram",10.81,25.16,627900,20091221,93.19,"NYALA",24.88,12.05,"M"
1997,"Riots","Protesters (Sudan)","Police Forces of Sudan (1989-)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,19971201,93.59,"KHARTOUM",32.54,15.6,"M"
1998,"Battles","Arab Ethnic Militia (Sudan)","Messalit Ethnic Militia","Sudan","West Darfur","West Darfur",12.88,22.96,646580,19980215,93.59,"BIRAO",22.78,10.28,"M"
1999,"Battles","Messalit Ethnic Militia","Unidentified Ethnic Militia (Sudan)","Sudan","West Darfur","West Darfur",12.88,22.96,627900,19990119,93.59,"NYALA",24.88,12.05,"M"
2000,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","North Kordofan","Bara garrison",13.69,30.36,627710,20001001,93.59,"EL OBEID",30.23,13.16,"M"
2001,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20010722,93.59,"LODWAR",35.61,3.11,"M"
2004,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20040825,93.59,"NYALA",24.88,12.05,"M"
2004,"Battles","Unidentified Armed Group (Sudan)","Police Forces of Sudan (1989-)","Sudan","North Darfur","Umm Keddada",13.6,26.7,627810,20040909,93.59,"EN NAHUD",28.43,12.69,"M"
2005,"Battles","Unidentified Armed Group (Chad)","SLM/A: Sudan Liberation Movement/Army","Sudan","North Darfur","Kutum",14.19,24.66,627600,20050804,93.59,"EL FASHER",25.33,13.61,"M"
2005,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Western Darfur","Al Hamra",14.13,24.83,627600,20050804,93.59,"EL FASHER",25.33,13.61,"M"
2005,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","South Darfur",11,25,627600,20050804,93.59,"EL FASHER",25.33,13.61,"M"
2005,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","South Darfur",11,25,627600,20050804,93.59,"EL FASHER",25.33,13.61,"M"
2005,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627600,20050804,93.59,"EL FASHER",25.33,13.61,"M"
2005,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","South Darfur",11,25,627600,20050804,93.59,"EL FASHER",25.33,13.61,"M"
2005,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Darfur",13,25,627600,20051206,93.59,"EL FASHER",25.33,13.61,"M"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Darfur","Jebel Marra",13.75,24.5,627600,20051222,93.59,"EL FASHER",25.33,13.61,"M"
2006,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","North Darfur","Saraf Umra",13.44,23.26,627700,20060802,93.59,"GENINA",22.45,13.48,"M"
2009,"Battles","Military Forces of Sudan (1989-)","JEM: Justice and Equality Movement","Sudan","South Darfur","Muhajiriya",12,25.63,627900,20090126,93.59,"NYALA",24.88,12.05,"M"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","North Darfur","Saraf Umra",13.44,23.26,627700,20090314,93.59,"GENINA",22.45,13.48,"M"
2009,"Battles","SPLA: Sudanese People's Liberation Army","LRA: Lord's Resistance Army","Sudan","Bahr el Ghazal","Boro al-Madinah in Raga",8.46,25.68,646610,20091219,93.59,"YALINGA",23.26,6.5,"M"
1997,"Battles","NLA: National Liberation Army of Iran","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Malawaya area",15.26,36.2,627300,19971206,93.69,"KASSALA",36.4,15.46,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Nyamlel",9.11,26.96,628090,20000717,93.69,"BABANUSA",27.81,11.33,"M"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Police Forces of Sudan (1989-)","Sudan","Blue Nile","Aroma area",15.81,36.13,627300,20010130,93.69,"KASSALA",36.4,15.46,"M"
2001,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Kapoeta",4.77,33.59,636120,20010826,93.69,"LODWAR",35.61,3.11,"M"
2002,"Battles","Dinka Ethnic Militia","Military Forces of Sudan (1989-)","Sudan","Kassala","Kassala",15.45,36.39,627300,20020119,93.69,"KASSALA",36.4,15.46,"M"
2002,"Battles","Nuer Ethnic Militia","Dinka Ethnic Militia","Sudan","Kassala","Kassala",15.45,36.39,627300,20020119,93.69,"KASSALA",36.4,15.46,"M"
2002,"Battles","Dinka Ethnic Militia","Nuer Ethnic Militia","Sudan","Kassala","Kassala",15.45,36.39,627300,20020119,93.69,"KASSALA",36.4,15.46,"M"
2002,"Battles","Nuer Ethnic Militia","Military Forces of Sudan (1989-)","Sudan","Kassala","Kassala",15.45,36.39,627300,20020119,93.69,"KASSALA",36.4,15.46,"M"
2002,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Sudan","Equatoria","Ngongo mountains",5.4,27.48,646590,20020404,93.69,"OBO",26.5,5.4,"M"
2002,"Battles","Military Forces of  Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","Equatoria","Ngongo Mountains",5.4,27.48,646590,20020404,93.69,"OBO",26.5,5.4,"M"
2002,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,20020404,93.69,"OBO",26.5,5.4,"M"
2002,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,20020404,93.69,"OBO",26.5,5.4,"M"
2002,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","Bahr el Ghazal","Wau",7.69,28,646590,20020404,93.69,"OBO",26.5,5.4,"M"
2002,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,20020404,93.69,"OBO",26.5,5.4,"M"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","South Darfur","Buram",10.81,25.16,627900,20040312,93.69,"NYALA",24.88,12.05,"M"
2004,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20040312,93.69,"NYALA",24.88,12.05,"M"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","South Darfur","Buram",10.81,25.16,627900,20040313,93.69,"NYALA",24.88,12.05,"M"
2004,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20040313,93.69,"NYALA",24.88,12.05,"M"
2004,"Battles","LRA: Lord's Resistance Army","Equatoria Defence Force","Sudan","Darfur","Birket Teir",13.53,22.6,647560,20040826,93.69,"ABECHE",20.85,13.85,"M"
2005,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","South Darfur","South Darfur",11,25,628090,20051108,93.69,"BABANUSA",27.81,11.33,"M"
